RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 0  0  1  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  0  0  0  0  1 ,475,110,50,18,141,149,43,103,399,53,133,268,594,52,174,92,235,234,592,163,154,690,102,84,345,402,139,473,262,25,85,227,57,82,43,353,151,1047,189,241,370,390,120,63,151,108,216,82,43,152,242,86,706,146,79,161,42,188,272,104,277,142,264,33
H 0  0  0  0  1  1 ,30,551,8,22,159,155,1014,16,678,87,43,75,2711,61,16,19,773,72,2948,131,168,164,299,71,383,6460,2356,718,106,150,293,817,36,13,43,372,2248,1433,377,96,308,384,193,53,66,24,1271,276,13,157,1269,31,189,171,550,13,4,48,1098,259,69,132,1137,139
H 1  1  1  1  0  1 ,5305,21,455,7,130,99,6,148,638,27,355,929,197,39,1462,166,51,575,232,103,115,2856,8,31,397,23,14,510,1067,4,6,43,33,213,20,346,8,1859,290,845,333,349,113,32,80,201,53,8,60,96,72,314,3326,77,35,1599,58,521,89,16,877,110,50,4
H 0  1  0  0  1  1 ,35,337,5,9,124,105,473,19,629,54,55,91,2103,47,20,29,493,61,2206,160,152,230,200,72,316,3855,1158,576,117,56,192,494,41,21,30,318,1142,1569,350,84,311,339,122,55,70,13,846,188,11,134,846,29,204,123,369,15,10,80,804,160,108,125,837,81
H 0  1  1  0  0  0 ,28,1788,85,15,126,181,637,28,2410,280,757,374,430,259,76,17,32,8,509,140,147,153,54,293,72,223,341,2340,322,124,43,27,14,12,2,60,315,1242,5708,358,57,89,145,264,3,26,920,53,48,112,902,718,207,177,1616,48,43,11,897,54,365,137,876,96
H 0  0  1  0  0  0 ,18,2713,98,31,176,169,1348,20,2470,370,659,299,581,321,67,28,42,10,663,173,160,171,66,387,71,404,635,2557,331,171,82,40,20,26,9,92,596,1098,6614,357,79,93,128,346,3,14,1181,90,62,127,1228,690,151,153,2764,44,63,8,1289,84,310,189,1238,174
H 1  0  0  0  1  0 ,303,69,5,31,240,197,180,71,235,33,11,85,4107,40,37,90,3997,634,3885,190,196,624,475,27,1541,12381,1359,231,72,62,488,3877,189,77,218,1365,1365,1656,44,85,1546,1341,174,20,1288,77,567,524,12,153,516,18,595,215,71,38,17,662,551,524,87,179,492,90
H 1  1  1  1  1  1 ,323,130,35,4,142,117,64,46,909,55,106,232,1015,39,95,34,135,133,941,117,127,857,28,25,361,496,153,856,311,23,27,142,11,33,19,292,134,2421,335,306,321,345,130,34,36,49,371,53,18,106,374,105,961,101,113,121,14,119,353,30,341,101,346,11
H 1  0  1  1  1  1 ,260,185,39,13,143,126,88,41,955,47,134,258,1240,59,91,40,213,125,1285,125,187,743,82,67,417,852,252,816,286,24,97,252,22,42,18,359,230,2296,467,281,300,424,140,32,65,33,551,71,18,132,437,102,737,117,177,86,21,123,461,76,255,139,508,30
H 1  0  1  1  0  1 ,3962,22,389,8,141,137,4,150,644,36,324,844,331,58,1142,214,79,561,313,148,114,2555,22,60,363,64,18,609,933,11,13,69,28,179,18,352,11,1852,238,869,421,385,136,43,86,200,104,17,42,112,96,310,2532,124,37,1271,61,536,100,21,916,130,96,0
