
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 1  1  1  1  0  0  1  0  1  1  1  0 ,	5,	0,	0,	52,	3,	0,	2,	1,	3,	12,	1,	0,	116,	2,	2,	19,	0,	0,	0,	3,	0,	0,	0,	77,	0,	0,	0,	1,	0,	1,	0,	3,	3,	12,	1,	0,	3,	0,	0,	0,	1,	2,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	6,	0,	16,	134,	0,	0,	0,	0,	9,	1,	22,	
V 0  0  0  1  0  0  1  0  0  1  0  1 ,	54,	5,	4,	47,	8,	11,	5,	4,	5,	2,	66,	14,	3,	12,	118,	12,	4,	6,	4,	5,	16,	11,	33,	20,	6,	6,	3,	7,	5,	9,	13,	5,	13,	111,	18,	3,	16,	42,	8,	2,	12,	5,	18,	0,	11,	20,	8,	18,	11,	7,	3,	8,	6,	47,	2,	5,	11,	1,	3,	6,	8,	37,	13,	3,	
V 0  1  1  1  0  0  0  1  0  0  1  1 ,	20,	13,	0,	41,	4,	3,	2,	0,	11,	8,	2,	1,	104,	1,	1,	22,	3,	2,	6,	1,	0,	2,	1,	78,	1,	0,	3,	1,	2,	2,	0,	3,	4,	8,	2,	1,	3,	1,	2,	6,	8,	3,	3,	0,	6,	0,	1,	3,	0,	3,	2,	0,	3,	8,	1,	26,	60,	1,	1,	0,	1,	7,	0,	16,	
V 1  0  0  0  0  0  1  1  1  0  1  1 ,	11,	3,	4,	5,	2,	9,	0,	0,	4,	0,	21,	2,	0,	2,	70,	2,	1,	2,	5,	1,	26,	0,	29,	4,	0,	3,	0,	1,	0,	2,	21,	4,	4,	47,	12,	1,	7,	68,	0,	0,	9,	4,	17,	0,	4,	22,	0,	13,	11,	7,	0,	2,	1,	9,	0,	2,	2,	1,	1,	0,	6,	3,	7,	3,	
V 1  0  1  0  0  0  1  1  1  1  1  0 ,	11,	1,	0,	9,	1,	4,	0,	1,	0,	0,	5,	1,	0,	4,	11,	1,	1,	4,	2,	1,	2,	2,	0,	2,	0,	0,	0,	0,	1,	1,	2,	3,	3,	25,	2,	0,	3,	5,	0,	0,	2,	3,	4,	0,	1,	6,	0,	4,	0,	2,	1,	0,	1,	4,	0,	0,	2,	0,	1,	0,	0,	3,	4,	0,	
V 1  1  1  1  1  0  0  0  0  0  1  1 ,	11,	65,	2,	38,	3,	1,	1,	0,	23,	66,	1,	0,	2102,	1,	2,	35,	0,	3,	2,	2,	0,	3,	0,	183,	0,	3,	0,	0,	1,	0,	1,	2,	4,	5,	2,	0,	0,	1,	8,	3,	10,	3,	1,	0,	1,	1,	0,	0,	0,	1,	0,	0,	1,	1,	0,	146,	498,	0,	4,	0,	1,	5,	0,	18,	
V 1  0  1  1  0  0  0  1  0  0  1  1 ,	18,	15,	0,	34,	1,	0,	3,	0,	7,	18,	1,	2,	144,	2,	1,	16,	0,	2,	3,	5,	0,	1,	2,	74,	1,	3,	1,	0,	0,	2,	0,	3,	6,	6,	0,	0,	1,	0,	4,	5,	0,	2,	2,	1,	3,	3,	0,	0,	2,	3,	2,	0,	0,	1,	0,	44,	82,	1,	1,	1,	0,	3,	1,	6,	
V 1  1  0  1  1  1  0  0  0  1  0  1 ,	6,	7,	0,	4,	0,	4,	1,	0,	5,	1,	1,	0,	19,	3,	1,	3,	0,	5,	2,	1,	1,	0,	1,	16,	1,	1,	1,	2,	0,	0,	0,	1,	2,	3,	1,	0,	2,	2,	2,	1,	13,	1,	0,	0,	3,	1,	0,	1,	1,	3,	2,	2,	2,	0,	0,	3,	5,	0,	1,	1,	0,	1,	0,	0,	
V 1  1  0  0  0  1  0  1  0  1  1  0 ,	19,	1,	2,	8,	1,	6,	2,	0,	1,	0,	2,	1,	2,	7,	2,	3,	3,	1,	4,	2,	1,	1,	3,	11,	0,	1,	3,	5,	0,	1,	1,	2,	6,	8,	2,	0,	4,	1,	4,	1,	7,	4,	3,	0,	5,	1,	0,	1,	4,	2,	1,	2,	0,	4,	0,	2,	0,	0,	0,	2,	1,	2,	6,	0,	
V 1  0  0  0  1  0  0  0  0  1  1  1 ,	46,	0,	4,	65,	8,	4,	0,	6,	3,	2,	214,	15,	2,	19,	1790,	5,	5,	7,	2,	1,	17,	34,	63,	13,	3,	4,	2,	4,	1,	2,	30,	1,	7,	352,	18,	1,	10,	252,	2,	3,	2,	4,	27,	0,	3,	67,	6,	59,	9,	5,	1,	8,	1,	340,	1,	4,	0,	2,	5,	1,	9,	53,	12,	7,	
V 1  0  0  1  1  0  1  1  1  0  1  1 ,	2,	2,	0,	1,	0,	1,	1,	0,	3,	1,	2,	1,	0,	3,	0,	1,	2,	0,	0,	1,	2,	0,	0,	2,	0,	0,	1,	2,	2,	0,	0,	1,	0,	0,	1,	0,	3,	1,	0,	0,	0,	1,	2,	0,	1,	1,	0,	1,	0,	1,	0,	0,	0,	1,	0,	1,	0,	0,	1,	0,	0,	0,	1,	0,	
V 1  1  0  0  0  0  1  1  1  0  0  0 ,	16,	39,	4,	2,	0,	5,	16,	1,	6,	2,	1,	1,	9,	3,	1,	4,	5,	8,	3,	6,	0,	2,	4,	34,	4,	9,	18,	19,	2,	3,	1,	9,	8,	3,	2,	0,	6,	1,	18,	3,	29,	5,	6,	8,	26,	2,	1,	3,	13,	7,	16,	12,	3,	1,	1,	5,	8,	2,	2,	3,	0,	1,	3,	3,	
V 0  1  1  0  0  0  1  1  0  1  1  1 ,	7,	0,	1,	4,	1,	1,	0,	0,	2,	1,	9,	2,	0,	2,	15,	1,	0,	1,	0,	2,	3,	0,	5,	4,	0,	0,	1,	3,	2,	0,	0,	0,	4,	24,	0,	0,	3,	3,	1,	0,	2,	0,	0,	0,	2,	5,	0,	2,	2,	4,	1,	2,	0,	5,	0,	0,	0,	0,	2,	0,	2,	2,	2,	3,	
V 1  0  1  1  1  0  1  0  1  1  0  1 ,	3,	1,	0,	3,	0,	0,	1,	0,	1,	0,	0,	0,	2,	0,	1,	2,	0,	1,	1,	2,	0,	0,	0,	3,	0,	0,	1,	1,	0,	0,	0,	2,	4,	3,	0,	0,	0,	0,	1,	0,	1,	3,	3,	1,	0,	1,	0,	0,	0,	1,	0,	2,	1,	0,	1,	1,	6,	2,	0,	1,	0,	1,	2,	0,	
V 1  1  1  1  0  1  1  1  1  1  0  0 ,	1,	5,	0,	2,	1,	0,	5,	2,	4,	0,	0,	0,	4,	1,	0,	0,	0,	0,	0,	2,	0,	0,	1,	7,	0,	1,	0,	0,	0,	0,	0,	1,	4,	0,	0,	0,	1,	0,	5,	0,	10,	0,	1,	0,	3,	0,	1,	0,	0,	1,	0,	1,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	
V 1  1  1  1  1  1  1  0  0  1  1  1 ,	1,	0,	1,	1,	0,	0,	0,	0,	1,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	2,	0,	0,	0,	1,	0,	0,	0,	1,	3,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	
V 1  0  0  0  0  0  0  1  1  1  0  0 ,	61,	5,	10,	43,	7,	13,	0,	8,	3,	4,	67,	12,	4,	10,	162,	12,	6,	8,	5,	7,	18,	26,	45,	24,	3,	7,	3,	6,	6,	7,	26,	6,	14,	116,	16,	0,	24,	48,	2,	3,	7,	8,	20,	5,	19,	31,	6,	24,	17,	13,	1,	10,	6,	57,	2,	7,	7,	4,	5,	7,	8,	37,	13,	5,	
V 0  0  1  0  1  0  1  1  0  1  0  0 ,	12,	4,	50,	4,	0,	237,	28,	2,	10,	2,	3,	5,	5,	5,	4,	5,	5,	9,	3,	5,	15,	0,	17,	5,	1,	10,	3284,	564,	5,	4,	7,	5,	14,	4,	14,	1,	5,	2,	7,	4,	50,	2,	21,	2,	268,	4,	2,	1,	166,	38,	95,	24,	5,	4,	11,	5,	3,	3,	3,	2,	182,	1,	14,	1,	
V 1  1  0  1  0  0  0  0  1  1  0  1 ,	29,	2,	2,	629,	39,	0,	1,	2,	6,	156,	32,	0,	143,	2,	164,	214,	1,	3,	1,	3,	0,	223,	1,	103,	1,	0,	0,	0,	1,	0,	1,	3,	3,	184,	1,	0,	3,	2,	2,	1,	9,	3,	5,	1,	1,	2,	0,	1,	0,	4,	0,	1,	4,	694,	1,	52,	899,	0,	2,	4,	2,	117,	2,	934,	
V 0  0  0  0  0  1  1  1  0  0  0  0 ,	50,	31,	2247,	11,	11,	16604,	1220,	10,	24,	14,	9,	35,	6,	34,	11,	10,	33,	53,	18,	26,	790,	8,	140,	12,	16,	424,	558795,	47981,	52,	14,	183,	73,	43,	12,	238,	17,	22,	21,	133,	30,	436,	17,	145,	101,	4584,	31,	11,	7,	4089,	1521,	12502,	374,	24,	14,	587,	10,	10,	100,	15,	19,	24376,	9,	112,	11,	
V 1  1  1  0  0  0  0  0  0  0  1  1 ,	61,	23,	1,	549,	99,	2,	3,	0,	24,	727,	16,	1,	2481,	3,	24,	506,	2,	5,	4,	6,	3,	151,	2,	396,	3,	1,	2,	2,	0,	3,	0,	4,	15,	84,	2,	0,	4,	1,	6,	5,	7,	10,	3,	4,	2,	1,	3,	1,	2,	4,	2,	2,	2,	193,	1,	358,	3392,	0,	17,	4,	2,	131,	2,	1015,	
V 0  1  0  0  1  0  0  1  1  0  1  0 ,	26,	3,	9,	11,	2,	24,	4,	2,	1,	2,	6,	3,	1,	9,	6,	1,	4,	3,	6,	2,	11,	2,	26,	9,	2,	4,	26,	11,	1,	2,	18,	3,	13,	15,	12,	2,	5,	16,	3,	0,	8,	3,	20,	1,	16,	15,	3,	7,	34,	15,	4,	14,	2,	6,	0,	2,	6,	1,	3,	1,	17,	3,	7,	4,	
V 1  1  1  1  0  0  1  0  1  1  1  1 ,	5,	0,	0,	105,	0,	1,	0,	0,	1,	0,	2,	0,	6,	0,	13,	11,	0,	0,	1,	2,	0,	4,	0,	22,	0,	0,	0,	1,	0,	0,	0,	0,	3,	18,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	1,	60,	0,	1,	54,	1,	0,	0,	0,	10,	0,	28,	
V 0  0  0  0  0  0  1  0  0  0  1  1 ,	108,	5,	24,	68,	11,	145,	5,	47,	4,	4,	468,	73,	2,	76,	2109,	6,	7,	25,	7,	14,	669,	29,	579,	19,	8,	6,	42,	14,	19,	18,	697,	5,	24,	402,	96,	9,	66,	2741,	2,	3,	5,	4,	103,	8,	28,	465,	14,	318,	143,	29,	8,	22,	4,	208,	12,	3,	11,	5,	13,	15,	181,	43,	109,	11,	
V 0  0  1  1  0  0  0  0  0  0  1  0 ,	149,	196,	4,	301,	219,	4,	20,	7,	93,	725,	46,	10,	3189,	11,	21,	438,	8,	15,	59,	41,	2,	100,	7,	607,	28,	18,	8,	10,	1,	14,	3,	8,	29,	78,	6,	5,	9,	2,	74,	74,	44,	42,	14,	17,	26,	13,	8,	8,	6,	7,	13,	21,	20,	60,	6,	918,	1540,	6,	52,	25,	3,	151,	7,	412,	
V 0  1  1  0  0  0  1  1  0  1  1  0 ,	10,	4,	1,	8,	0,	4,	0,	0,	4,	0,	2,	1,	2,	3,	1,	1,	4,	2,	2,	1,	0,	2,	0,	8,	1,	2,	2,	2,	1,	0,	0,	0,	5,	11,	2,	0,	5,	2,	3,	1,	8,	2,	6,	3,	7,	2,	4,	6,	3,	3,	1,	2,	0,	2,	2,	2,	0,	0,	2,	2,	1,	5,	1,	1,	
V 1  1  1  1  0  1  1  1  1  1  0  1 ,	2,	3,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	1,	3,	1,	1,	0,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	1,	0,	
V 1  0  0  0  1  0  0  0  0  1  1  0 ,	69,	2,	5,	45,	11,	11,	5,	5,	8,	3,	87,	17,	8,	21,	143,	18,	3,	8,	4,	8,	16,	15,	36,	29,	4,	5,	8,	3,	11,	11,	36,	4,	11,	140,	17,	5,	15,	55,	5,	6,	11,	5,	19,	4,	13,	31,	7,	34,	24,	10,	2,	14,	5,	61,	2,	12,	13,	5,	11,	9,	7,	15,	12,	13,	
V 0  0  1  0  1  0  1  1  0  1  0  1 ,	4,	2,	4,	3,	0,	73,	1,	0,	2,	0,	2,	2,	0,	3,	2,	1,	1,	0,	2,	1,	20,	1,	24,	1,	0,	2,	224,	15,	3,	1,	14,	2,	9,	4,	9,	0,	3,	7,	0,	0,	9,	3,	15,	1,	24,	1,	0,	3,	42,	16,	5,	2,	0,	1,	2,	1,	1,	3,	1,	2,	63,	3,	9,	1,	
V 0  1  1  0  0  1  0  0  1  1  0  0 ,	39,	4,	3,	50,	5,	5,	2,	0,	8,	3,	17,	3,	13,	5,	33,	15,	1,	4,	1,	10,	1,	11,	5,	52,	1,	1,	4,	5,	2,	2,	4,	2,	12,	40,	5,	0,	4,	3,	1,	5,	10,	3,	4,	0,	3,	5,	2,	4,	4,	10,	2,	6,	1,	17,	0,	22,	13,	0,	6,	2,	1,	12,	2,	10,	
V 0  1  1  1  1  1  1  0  1  0  1  1 ,	0,	1,	1,	1,	1,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	5,	1,	1,	0,	2,	0,	0,	0,	0,	0,	1,	0,	1,	1,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	2,	0,	2,	0,	0,	0,	0,	0,	
V 1  0  0  0  1  1  0  1  0  1  0  0 ,	17,	6,	29,	3,	1,	211,	29,	0,	3,	2,	2,	5,	3,	9,	3,	0,	2,	6,	3,	3,	14,	3,	13,	7,	4,	10,	3024,	605,	1,	2,	10,	16,	13,	2,	13,	2,	2,	6,	5,	5,	57,	5,	17,	6,	259,	4,	0,	1,	157,	43,	117,	48,	2,	1,	9,	2,	3,	7,	4,	5,	157,	6,	8,	0,	
V 0  0  0  0  0  1  1  1  0  0  0  1 ,	30,	3,	369,	5,	2,	5461,	10,	4,	6,	2,	8,	13,	4,	19,	4,	4,	12,	16,	4,	3,	1059,	5,	177,	5,	2,	49,	34958,	1838,	22,	6,	184,	11,	21,	8,	104,	10,	19,	39,	0,	6,	36,	4,	105,	2,	578,	34,	6,	10,	1045,	287,	164,	48,	6,	5,	35,	3,	5,	10,	2,	6,	6331,	3,	86,	4,	
V 1  1  0  0  1  1  1  1  0  0  0  0 ,	3,	220,	25,	2,	0,	52,	3654,	0,	6,	0,	0,	2,	2,	0,	1,	2,	1,	4,	5,	5,	0,	1,	1,	7,	1,	20,	21358,	14439,	3,	1,	1,	18,	10,	0,	4,	0,	3,	2,	274,	19,	727,	1,	4,	36,	1019,	0,	0,	1,	68,	45,	5133,	50,	2,	1,	11,	1,	2,	19,	1,	1,	31,	1,	5,	1,	
V 1  1  0  0  1  0  1  0  0  0  1  0 ,	18,	36,	5,	7,	5,	5,	29,	1,	10,	3,	2,	3,	15,	6,	0,	3,	2,	7,	7,	7,	0,	0,	3,	18,	1,	5,	18,	18,	1,	2,	1,	10,	14,	3,	2,	1,	4,	2,	25,	9,	28,	5,	5,	9,	37,	2,	1,	3,	7,	12,	9,	10,	2,	1,	3,	12,	3,	0,	4,	5,	5,	4,	4,	3,	
V 1  0  1  0  1  1  1  1  0  1  1  0 ,	3,	2,	0,	0,	0,	13,	0,	0,	1,	0,	0,	0,	1,	1,	0,	0,	1,	1,	1,	1,	0,	2,	0,	2,	0,	1,	146,	29,	0,	0,	1,	1,	2,	1,	2,	0,	0,	0,	1,	0,	7,	2,	6,	0,	34,	2,	0,	0,	7,	5,	6,	1,	0,	1,	0,	0,	0,	0,	4,	1,	4,	0,	0,	1,	
V 0  1  0  0  0  0  0  1  0  1  0  0 ,	107,	15,	13,	36,	17,	31,	18,	9,	10,	18,	41,	21,	15,	26,	23,	9,	8,	23,	14,	13,	22,	14,	31,	65,	14,	8,	52,	31,	11,	8,	26,	17,	27,	35,	25,	16,	14,	14,	20,	13,	26,	18,	35,	33,	59,	19,	10,	16,	80,	24,	17,	38,	14,	14,	6,	25,	15,	18,	15,	20,	17,	21,	18,	6,	
V 0  1  0  1  1  0  1  1  0  0  1  1 ,	3,	0,	3,	1,	0,	3,	0,	1,	2,	0,	1,	0,	0,	1,	1,	0,	1,	2,	1,	0,	1,	1,	2,	2,	0,	2,	9,	8,	1,	0,	0,	1,	4,	3,	0,	0,	2,	1,	0,	1,	7,	2,	5,	0,	14,	2,	0,	1,	6,	3,	2,	0,	0,	1,	0,	0,	1,	1,	1,	0,	0,	0,	2,	1,	
V 0  1  0  0  1  0  0  1  1  0  1  1 ,	11,	0,	4,	10,	1,	9,	0,	1,	6,	2,	26,	6,	1,	10,	102,	2,	2,	4,	1,	3,	27,	2,	38,	2,	0,	0,	5,	4,	3,	1,	19,	2,	5,	37,	10,	0,	7,	74,	0,	0,	4,	3,	12,	0,	4,	32,	1,	13,	6,	8,	0,	2,	2,	15,	2,	0,	0,	0,	1,	2,	9,	4,	7,	0,	
V 0  0  1  1  1  1  0  0  1  1  1  1 ,	9,	0,	1,	9,	0,	0,	0,	0,	1,	0,	15,	2,	0,	3,	104,	0,	2,	3,	0,	1,	5,	0,	7,	2,	0,	0,	1,	1,	0,	0,	2,	0,	2,	48,	0,	0,	3,	8,	1,	1,	2,	0,	6,	0,	0,	6,	0,	4,	3,	2,	0,	2,	0,	14,	0,	0,	0,	1,	0,	1,	0,	3,	4,	0,	
V 0  0  0  1  1  0  0  1  0  1  1  0 ,	19,	1,	10,	6,	0,	18,	5,	5,	4,	1,	14,	5,	2,	9,	11,	5,	0,	6,	0,	5,	8,	4,	18,	1,	2,	4,	29,	9,	3,	2,	13,	3,	5,	18,	12,	1,	7,	16,	2,	2,	5,	3,	17,	1,	22,	9,	0,	10,	31,	9,	0,	12,	5,	3,	3,	3,	0,	3,	4,	8,	17,	4,	12,	2,	
V 0  1  0  1  1  1  0  0  1  0  0  1 ,	8,	1,	0,	8,	0,	5,	0,	0,	5,	0,	2,	0,	0,	0,	5,	1,	2,	3,	2,	2,	1,	2,	4,	5,	0,	1,	0,	6,	0,	3,	0,	0,	7,	1,	2,	0,	3,	0,	3,	0,	11,	3,	4,	1,	8,	2,	0,	1,	1,	4,	1,	3,	5,	2,	1,	5,	0,	1,	1,	0,	1,	1,	5,	2,	
V 0  0  0  0  0  0  1  0  0  0  1  0 ,	181,	13,	101,	37,	16,	332,	16,	63,	10,	19,	243,	102,	8,	101,	215,	23,	28,	32,	13,	21,	457,	30,	401,	35,	26,	39,	378,	89,	52,	25,	585,	21,	33,	168,	193,	38,	59,	531,	18,	18,	33,	16,	127,	29,	158,	167,	25,	106,	467,	93,	31,	79,	26,	49,	53,	12,	7,	15,	19,	48,	455,	44,	107,	18,	
V 0  1  1  1  0  1  1  0  1  1  0  0 ,	7,	10,	0,	2,	0,	2,	0,	0,	8,	0,	1,	1,	8,	1,	3,	1,	1,	0,	1,	1,	0,	0,	0,	18,	0,	2,	0,	2,	1,	0,	1,	2,	6,	1,	0,	0,	1,	0,	1,	1,	8,	2,	3,	1,	3,	0,	1,	0,	0,	3,	1,	1,	0,	2,	0,	2,	5,	0,	1,	0,	0,	0,	1,	0,	
V 0  0  1  1  0  1  1  0  0  1  1  1 ,	6,	0,	4,	6,	0,	1,	2,	1,	0,	2,	6,	0,	1,	1,	7,	2,	1,	0,	0,	2,	1,	0,	3,	2,	0,	0,	1,	3,	0,	1,	1,	0,	1,	14,	2,	2,	4,	0,	0,	0,	2,	2,	7,	1,	5,	3,	1,	1,	2,	2,	1,	1,	1,	5,	0,	4,	0,	0,	1,	0,	0,	3,	3,	0,	
V 0  1  0  1  0  0  1  1  0  1  0  0 ,	23,	25,	1,	7,	2,	6,	10,	1,	8,	2,	2,	1,	10,	2,	2,	6,	2,	5,	4,	6,	1,	2,	2,	23,	2,	5,	17,	18,	2,	4,	1,	6,	9,	3,	0,	1,	2,	2,	15,	12,	43,	5,	10,	9,	24,	1,	1,	2,	10,	5,	5,	14,	2,	2,	2,	12,	3,	7,	0,	1,	0,	3,	1,	3,	
V 0  0  0  1  1  0  1  0  1  0  1  1 ,	6,	0,	3,	4,	0,	6,	2,	2,	1,	1,	20,	2,	1,	7,	77,	4,	0,	3,	3,	2,	18,	1,	34,	2,	0,	0,	3,	1,	2,	1,	14,	0,	5,	48,	6,	1,	7,	53,	1,	0,	3,	2,	9,	0,	6,	29,	1,	6,	7,	3,	2,	2,	3,	7,	0,	0,	1,	1,	2,	2,	6,	1,	9,	2,	
V 1  1  0  0  0  1  0  1  1  0  0  1 ,	11,	2,	1,	4,	1,	3,	2,	0,	3,	2,	4,	1,	2,	2,	1,	1,	2,	2,	1,	4,	1,	0,	4,	5,	1,	4,	3,	3,	0,	1,	1,	1,	3,	9,	2,	1,	1,	1,	5,	0,	2,	3,	6,	0,	8,	0,	0,	0,	2,	3,	0,	6,	1,	5,	1,	0,	1,	0,	2,	1,	0,	0,	1,	0,	
V 0  1  0  0  0  0  1  0  0  0  0  1 ,	92,	15,	13,	34,	16,	22,	8,	3,	17,	18,	32,	10,	25,	22,	20,	20,	15,	20,	13,	11,	13,	15,	28,	47,	10,	8,	26,	12,	4,	17,	19,	17,	18,	47,	23,	17,	21,	13,	24,	9,	38,	10,	30,	11,	43,	26,	9,	10,	50,	16,	19,	30,	13,	15,	7,	28,	13,	5,	16,	12,	22,	26,	13,	10,	
V 1  0  0  1  1  1  0  1  1  0  1  1 ,	1,	1,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	0,	3,	1,	0,	2,	0,	0,	0,	0,	1,	1,	0,	0,	0,	4,	1,	0,	0,	0,	0,	4,	5,	0,	0,	2,	1,	0,	1,	2,	0,	3,	0,	2,	0,	0,	2,	2,	0,	1,	0,	0,	2,	0,	0,	1,	2,	1,	0,	2,	0,	1,	0,	
V 1  0  1  1  1  1  0  0  0  0  0  0 ,	18,	10904,	4,	1,	2,	1,	1669,	1,	151,	7,	0,	0,	2597,	0,	0,	6,	3,	3,	46,	19,	0,	0,	0,	158,	2,	6,	14,	108,	0,	3,	0,	35,	12,	2,	1,	0,	4,	0,	1293,	406,	655,	9,	3,	45,	85,	1,	3,	1,	4,	6,	219,	20,	8,	3,	3,	291,	28,	6,	5,	3,	0,	2,	2,	2,	
V 0  0  0  1  1  0  1  0  0  0  1  0 ,	30,	13,	12,	5,	2,	35,	14,	3,	5,	2,	4,	6,	4,	9,	10,	4,	3,	14,	5,	8,	4,	6,	13,	16,	4,	13,	238,	75,	4,	4,	9,	9,	15,	6,	16,	1,	11,	8,	19,	8,	49,	5,	17,	6,	125,	11,	0,	3,	87,	27,	40,	27,	6,	6,	12,	7,	11,	10,	3,	5,	44,	3,	10,	4,	
V 0  0  0  1  0  1  0  0  0  1  0  1 ,	64,	1,	8,	41,	8,	14,	5,	4,	6,	7,	75,	10,	4,	22,	154,	10,	3,	11,	6,	8,	10,	13,	33,	35,	7,	3,	10,	12,	8,	6,	21,	5,	18,	111,	17,	3,	12,	43,	3,	5,	8,	6,	27,	3,	13,	27,	3,	23,	17,	7,	5,	7,	2,	47,	2,	9,	8,	3,	2,	3,	12,	35,	11,	4,	
V 0  1  1  0  1  1  1  0  0  1  0  1 ,	4,	1,	4,	3,	0,	3,	1,	0,	3,	1,	2,	0,	4,	1,	0,	1,	1,	3,	0,	1,	0,	0,	2,	4,	0,	0,	21,	11,	0,	0,	1,	1,	5,	1,	4,	0,	2,	0,	3,	2,	10,	2,	5,	0,	16,	1,	0,	2,	5,	3,	4,	2,	0,	1,	1,	0,	0,	2,	1,	1,	0,	0,	3,	0,	
V 1  1  1  0  0  1  0  1  1  1  0  0 ,	17,	9,	0,	2,	0,	3,	2,	0,	6,	1,	0,	2,	11,	1,	1,	1,	3,	2,	1,	4,	0,	0,	0,	12,	0,	0,	0,	4,	1,	2,	0,	4,	10,	2,	1,	0,	4,	1,	2,	1,	10,	2,	4,	1,	5,	0,	1,	0,	0,	3,	0,	2,	0,	4,	0,	7,	2,	0,	1,	0,	3,	2,	3,	1,	
V 1  0  1  0  1  0  0  0  0  0  0  0 ,	112,	3621,	13,	27,	26,	5,	707,	7,	211,	82,	4,	6,	3088,	15,	5,	45,	4,	20,	126,	58,	7,	5,	3,	403,	25,	15,	24,	86,	4,	15,	4,	59,	37,	8,	7,	4,	2,	4,	955,	610,	451,	25,	13,	159,	127,	1,	8,	1,	23,	15,	165,	73,	40,	5,	8,	767,	159,	34,	34,	12,	5,	16,	8,	9,	
V 1  0  1  0  0  1  0  0  0  0  0  1 ,	72,	87,	3,	34,	15,	4,	21,	2,	22,	27,	8,	0,	196,	10,	4,	30,	6,	13,	16,	8,	4,	2,	4,	131,	7,	3,	6,	14,	4,	2,	1,	16,	19,	7,	2,	3,	7,	3,	46,	22,	47,	4,	6,	10,	21,	1,	7,	0,	5,	11,	13,	13,	9,	7,	3,	110,	63,	9,	10,	9,	2,	18,	2,	15,	
