
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 0  0  1  1  0  0  1  0  1  1  1  1 ,	9,	0,	1,	78,	4,	1,	1,	1,	1,	2,	77,	5,	0,	2,	2006,	6,	5,	1,	0,	0,	2,	17,	5,	4,	2,	0,	1,	0,	1,	1,	1,	1,	5,	331,	0,	0,	6,	29,	0,	0,	1,	1,	2,	1,	1,	7,	1,	11,	0,	1,	0,	1,	0,	540,	0,	0,	5,	1,	1,	1,	0,	38,	1,	10,	
V 1  0  1  1  0  1  0  0  0  0  0  1 ,	41,	436,	0,	22,	8,	3,	13,	0,	58,	67,	3,	1,	2538,	3,	2,	30,	4,	8,	15,	10,	0,	1,	1,	265,	2,	4,	5,	1,	1,	2,	1,	4,	9,	5,	1,	0,	0,	2,	61,	54,	59,	6,	5,	5,	9,	1,	1,	1,	0,	2,	5,	3,	6,	2,	2,	307,	251,	0,	6,	2,	0,	6,	3,	6,	
V 1  1  0  1  0  0  1  0  0  1  0  0 ,	20,	393,	1,	24,	12,	1,	20,	0,	69,	47,	4,	0,	2045,	8,	1,	31,	2,	5,	19,	6,	2,	4,	0,	217,	0,	1,	2,	5,	2,	4,	1,	8,	17,	7,	0,	0,	3,	1,	53,	43,	54,	2,	2,	8,	12,	5,	0,	2,	2,	5,	2,	14,	7,	1,	3,	277,	227,	4,	14,	1,	1,	9,	4,	3,	
V 0  1  0  1  0  0  1  0  1  0  0  1 ,	26,	3,	3,	25,	3,	4,	0,	1,	6,	4,	11,	0,	10,	3,	17,	11,	0,	5,	3,	3,	1,	5,	5,	23,	2,	1,	2,	6,	1,	1,	3,	1,	12,	35,	1,	2,	7,	2,	2,	2,	3,	7,	3,	4,	7,	2,	5,	2,	2,	2,	0,	4,	0,	17,	1,	8,	11,	2,	2,	5,	1,	12,	2,	6,	
V 0  1  0  1  0  1  0  0  0  1  1  1 ,	18,	0,	3,	58,	4,	4,	2,	0,	3,	2,	35,	2,	0,	5,	150,	10,	1,	4,	0,	4,	0,	15,	10,	15,	0,	4,	2,	3,	0,	1,	1,	1,	9,	116,	5,	0,	6,	5,	0,	0,	2,	2,	9,	2,	1,	9,	1,	5,	1,	4,	1,	2,	0,	94,	0,	0,	3,	0,	1,	1,	0,	23,	0,	7,	
V 0  0  0  1  0  0  1  0  1  0  1  1 ,	29,	2,	5,	52,	3,	8,	0,	8,	3,	3,	137,	13,	0,	12,	1503,	5,	1,	4,	2,	3,	18,	17,	42,	11,	1,	4,	3,	0,	1,	6,	28,	2,	6,	302,	4,	1,	20,	185,	0,	1,	1,	5,	13,	1,	4,	51,	0,	60,	7,	7,	0,	6,	1,	251,	4,	3,	2,	3,	2,	1,	6,	27,	13,	9,	
V 0  1  0  0  0  0  0  0  0  1  1  1 ,	129,	2,	7,	887,	70,	10,	2,	72,	1,	24,	1865,	33,	2,	34,	47915,	109,	3,	15,	4,	2,	28,	1791,	114,	40,	5,	1,	4,	3,	2,	19,	67,	11,	13,	3065,	16,	8,	81,	1511,	3,	1,	9,	6,	33,	0,	7,	225,	21,	482,	12,	14,	2,	7,	3,	13358,	4,	11,	32,	2,	2,	6,	10,	551,	20,	467,	
V 1  1  1  1  1  0  0  1  0  0  0  1 ,	7,	1033,	0,	8,	0,	2,	36,	0,	30,	5,	0,	1,	1487,	1,	1,	4,	0,	3,	8,	6,	0,	0,	1,	83,	0,	0,	2,	3,	0,	1,	0,	3,	6,	0,	1,	0,	3,	0,	59,	26,	62,	2,	0,	2,	5,	0,	1,	0,	0,	1,	2,	1,	2,	1,	0,	86,	36,	0,	1,	0,	0,	2,	2,	1,	
V 0  0  0  1  0  0  0  0  1  1  0  1 ,	105,	6,	6,	701,	50,	9,	4,	54,	4,	29,	1345,	20,	6,	41,	28478,	108,	5,	11,	4,	6,	27,	1166,	77,	54,	3,	3,	6,	2,	3,	4,	42,	2,	16,	2038,	9,	4,	60,	845,	1,	4,	5,	9,	22,	1,	6,	165,	15,	294,	9,	6,	1,	8,	3,	8550,	2,	11,	37,	6,	5,	4,	10,	383,	10,	374,	
V 0  0  1  0  0  1  1  0  0  1  1  1 ,	6,	1,	4,	8,	0,	13,	1,	2,	0,	0,	29,	3,	1,	10,	156,	1,	2,	3,	1,	3,	34,	0,	59,	2,	1,	2,	4,	1,	2,	1,	22,	3,	8,	53,	11,	0,	11,	112,	0,	1,	1,	2,	16,	0,	5,	31,	1,	14,	11,	9,	2,	4,	0,	24,	1,	0,	2,	1,	3,	0,	16,	5,	8,	0,	
